,Bound
1000,1
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,0
1008,0
1009,1
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,0
1019,1
1020,1
1021,0
1022,1
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,1
1036,0
1037,0
1038,1
1039,1
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,0
1067,0
1068,1
1069,1
1070,0
1071,1
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,0
1095,0
1096,0
1097,1
1098,0
1099,1
1100,1
1101,0
1102,1
1103,1
1104,0
1105,1
1106,1
1107,1
1108,1
1109,0
1110,1
1111,1
1112,1
1113,1
1114,0
1115,0
1116,1
1117,1
1118,1
1119,0
1120,0
1121,1
1122,1
1123,0
1124,1
1125,1
1126,0
1127,1
1128,1
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,1
1140,1
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,1
1153,1
1154,0
1155,1
1156,1
1157,0
1158,0
1159,0
1160,1
1161,1
1162,0
1163,1
1164,0
1165,1
1166,0
1167,1
1168,0
1169,1
1170,1
1171,1
1172,1
1173,0
1174,1
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,1
1182,0
1183,1
1184,0
1185,1
1186,1
1187,0
1188,1
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,0
1196,0
1197,1
1198,1
1199,0
1200,0
1201,1
1202,0
1203,0
1204,0
1205,0
1206,1
1207,1
1208,1
1209,0
1210,0
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,0
1221,1
1222,1
1223,1
1224,0
1225,0
1226,1
1227,1
1228,0
1229,1
1230,0
1231,0
1232,1
1233,1
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,1
1241,0
1242,0
1243,0
1244,1
1245,0
1246,1
1247,0
1248,1
1249,0
1250,1
1251,1
1252,0
1253,1
1254,1
1255,0
1256,0
1257,1
1258,0
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,1
1267,0
1268,1
1269,0
1270,1
1271,1
1272,1
1273,0
1274,0
1275,1
1276,1
1277,0
1278,1
1279,1
1280,0
1281,1
1282,1
1283,0
1284,0
1285,0
1286,0
1287,1
1288,0
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,1
1296,0
1297,1
1298,0
1299,0
1300,0
1301,1
1302,0
1303,1
1304,0
1305,0
1306,0
1307,1
1308,0
1309,1
1310,1
1311,1
1312,1
1313,0
1314,0
